year,sector,share_of_total
1967,Coal,0.4299835315935098
1967,Flaring,0.015590194985507917
1967,Gas,0.11710840506510753
1967,Oil,0.41467566849121434
1967,Other industry,0.0030398686123024304
1968,Cement,0.019780519172279423
1968,Coal,0.4122081725818586
1968,Flaring,0.01579199448163553
1968,Gas,0.12086152691229392
1968,Oil,0.4283673813022011
1968,Other industry,0.0029904830374374884
1969,Cement,0.019663055655954255
1969,Coal,0.4009848858412251
1969,Flaring,0.01773278462596239
1969,Gas,0.12416400822043747
1969,Oil,0.43442448435880254
1969,Other industry,0.003030708632694652
1970,Cement,0.019345480299230715
1970,Coal,0.3824957938844654
1970,Flaring,0.018641815476719833
1970,Gas,0.12020399299583688
1970,Oil,0.45633616815038774
1970,Other industry,0.0029766820753870413
1971,Cement,0.01954725861208001
1971,Coal,0.3676538787561448
1971,Flaring,0.020735027182259492
1971,Gas,0.12471653836960107
1971,Oil,0.4644666599844607
1971,Other industry,0.0028806370954540233
1972,Cement,0.019800575410924375
1972,Coal,0.3507815518664614
1972,Flaring,0.021382003194042817
1972,Gas,0.12649628689903142
1972,Oil,0.4785766706180789
1972,Other industry,0.0029629120114611296
1973,Cement,0.019918915682440155
1973,Coal,0.3431984650955934
1973,Flaring,0.023550933301165845
1973,Gas,0.12898555010354398
1973,Oil,0.48132299718602817
1973,Other industry,0.003023138631228559
1974,Cement,0.02003840236377268
1974,Coal,0.3446125029944854
1974,Flaring,0.0230257104519661
1974,Gas,0.13275401119855193
1974,Oil,0.4764873473871379
1974,Other industry,0.0030820256040859605
1975,Cement,0.020006266600590506
1975,Coal,0.354258654263122
1975,Flaring,0.01982096452789735
1975,Gas,0.13192860078039959
1975,Oil,0.47120892590901475
1975,Other industry,0.002776529055547475
1976,Cement,0.01993299703087341
1976,Coal,0.34857062497214836
1976,Flaring,0.02213750466620223
1976,Gas,0.13206494368199018
1976,Oil,0.4744938164283013
1976,Other industry,0.002800113220484578
1977,Cement,0.020302277383766314
1977,Coal,0.3472605652488264
1977,Flaring,0.020780378557862307
1977,Gas,0.1313713300205975
1977,Oil,0.4775785147858113
1977,Other industry,0.0027068250590381684
1978,Cement,0.020914291505240913
1978,Coal,0.34219270884199116
1978,Flaring,0.020509555398964152
1978,Gas,0.13360165409864694
1978,Oil,0.4800970756922749
1978,Other industry,0.0026847144628820725
1979,Cement,0.020693602151667545
1979,Coal,0.3485583530126985
1979,Flaring,0.018461559753934036
1979,Gas,0.1367636000346514
1979,Oil,0.47283360816952935
1979,Other industry,0.0026892768775190826
