year,emissions_mtco2,sector
1984,421.117,Cement
1984,7586.115,Coal
1984,186.753,Flaring
1984,2972.027,Gas
1984,8238.706,Oil
1984,52.532,Other industry
1985,425.741,Cement
1985,8144.824,Coal
1985,181.449,Flaring
1985,3089.7,Gas
1985,8247.613,Oil
1985,55.537,Other industry
1986,441.784,Cement
1986,8261.466,Coal
1986,169.67,Flaring
1986,3014.606,Gas
1986,8490.594,Oil
1986,59.925,Other industry
1987,458.382,Cement
1987,8549.229,Coal
1987,163.009,Flaring
1987,3281.567,Gas
1987,8579.333,Oil
1987,74.67,Other industry
1988,481.928,Cement
1988,8836.429,Coal
1988,185.629,Flaring
1988,3435.978,Gas
1988,8889.34,Oil
1988,89.452,Other industry
1989,492.073,Cement
1989,8827.798,Coal
1989,150.973,Flaring
1989,3604.958,Gas
1989,9037.386,Oil
1989,87.024,Other industry
1990,492.522,Cement
1990,8659.787,Coal
1990,256.788,Flaring
1990,3790.182,Gas
1990,9196.439,Oil
1990,336.425,Other industry
1991,504.694,Cement
1991,8574.09,Coal
1991,272.16,Flaring
1991,3851.52,Gas
1991,9656.487,Oil
1991,346.639,Other industry
1992,525.922,Cement
1992,8361.174,Coal
1992,239.794,Flaring
1992,3901.366,Gas
1992,9154.655,Oil
1992,337.513,Other industry
1993,549.567,Cement
1993,8470.028,Coal
1993,232.44,Flaring
1993,4007.804,Gas
1993,9172.321,Oil
1993,317.711,Other industry
1994,586.744,Cement
1994,8513.747,Coal
1994,312.927,Flaring
1994,4040.174,Gas
1994,9196.235,Oil
1994,324.772,Other industry
1995,620.204,Cement
1995,8758.441,Coal
1995,324.364,Flaring
1995,4196.848,Gas
1995,9283.901,Oil
1995,332.879,Other industry
1996,633.559,Cement
1996,8976.964,Coal
1996,348.548,Flaring
1996,4381.599,Gas
1996,9562.137,Oil
1996,330.67,Other industry
1997,658.829,Cement
1997,8927.3,Coal
1997,350.78,Flaring
1997,4395.058,Gas
1997,9702.211,Oil
1997,346.144,Other industry
1998,656.596,Cement
1998,8689.001,Coal
1998,334.982,Flaring
1998,4443.504,Gas
1998,9821.975,Oil
1998,349.655,Other industry
1999,688.047,Cement
1999,8809.093,Coal
1999,328.418,Flaring
1999,4586.166,Gas
1999,10064.188,Oil
1999,361.859,Other industry
2000,718.165,Cement
2000,9156.638,Coal
2000,345.576,Flaring
2000,4727.823,Gas
2000,10211.624,Oil
2000,351.657,Other industry
2001,750.748,Cement
2001,9208.429,Coal
2001,334.076,Flaring
2001,4771.715,Gas
2001,10283.57,Oil
2001,344.456,Other industry
2002,779.004,Cement
2002,9630.182,Coal
2002,323.111,Flaring
2002,4913.652,Gas
2002,10269.353,Oil
2002,350.03,Other industry
2003,857.435,Cement
2003,10466.565,Coal
2003,343.439,Flaring
2003,5096.196,Gas
2003,10540.85,Oil
2003,348.206,Other industry
2004,895.93,Cement
2004,10813.392,Coal
2004,341.454,Flaring
2004,5257.67,Gas
2004,10924.574,Oil
2004,377.004,Other industry
2005,966.776,Cement
2005,11498.5,Coal
2005,346.552,Flaring
2005,5376.289,Gas
2005,11030.305,Oil
2005,380.529,Other industry
2006,1047.294,Cement
2006,12136.238,Coal
2006,346.573,Flaring
2006,5531.006,Gas
2006,11142.928,Oil
2006,390.113,Other industry
2007,1126.199,Cement
2007,12724.451,Coal
2007,342.25,Flaring
2007,5736.637,Gas
2007,11184.312,Oil
2007,385.405,Other industry
2008,1137.397,Cement
2008,13149.669,Coal
2008,333.686,Flaring
2008,5905.5,Gas
2008,11143.34,Oil
2008,380.068,Other industry
2009,1170.606,Cement
2009,13003.172,Coal
2009,328.636,Flaring
2009,5765.684,Gas
2009,10899.597,Oil
2009,345.319,Other industry
2010,1251.813,Cement
2010,13918.224,Coal
2010,339.741,Flaring
2010,6205.78,Gas
2010,11253.694,Oil
2010,348.421,Other industry
2011,1344.747,Cement
2011,14704.223,Coal
2011,356.251,Flaring
2011,6389.33,Gas
2011,11310.148,Oil
2011,375.29,Other industry
2012,1377.354,Cement
2012,14867.802,Coal
2012,374.059,Flaring
2012,6523.143,Gas
2012,11432.716,Oil
2012,379.661,Other industry
