year,sector,delta_mtco2,delta_total,contribution_share
1912,Oil,4.346000000000004,156.7220000000002,0.027730631308941933
1912,Other industry,0.07299999999999995,156.7220000000002,0.00046579293270887213
1913,Cement,0.8870000000000005,270.9169999999999,0.003274065488692111
1913,Coal,243.8779999999997,270.9169999999999,0.9001945245222699
1913,Gas,1.2829999999999977,270.9169999999999,0.0047357677812761775
1913,Oil,24.795999999999992,270.9169999999999,0.09152618698715843
1913,Other industry,0.07399999999999984,270.9169999999999,0.00027314638800813483
1914,Cement,-0.40499999999999936,-327.096,0.001238168611049965
1914,Coal,-331.1279999999997,-327.096,1.0123266563944522
1914,Gas,0.5380000000000003,-327.096,-0.0016447770685058829
1914,Oil,4.045999999999992,-327.096,-0.012369457284711498
1914,Other industry,-0.1469999999999998,-327.096,0.00044940934771443185
1915,Cement,-0.19600000000000062,-49.71900000000005,0.003942154910597567
1915,Coal,-62.960000000000036,-49.71900000000005,1.2663166998531743
1915,Gas,1.7300000000000004,-49.71900000000005,-0.03479555099660087
1915,Oil,11.560000000000002,-49.71900000000005,-0.23250668758422313
1915,Other industry,0.1469999999999998,-49.71900000000005,-0.0029566161829481614
1916,Cement,0.5260000000000007,252.20100000000002,0.0020856380426723157
1916,Coal,227.23900000000003,252.20100000000002,0.9010233900737904
1916,Gas,6.511000000000003,252.20100000000002,0.02581670968790767
1916,Oil,17.632000000000005,252.20100000000002,0.06991249043421717
1916,Other industry,0.29300000000000015,252.20100000000002,0.0011617717614125246
1917,Cement,0.06799999999999962,156.26699999999983,0.0004351526553910915
1917,Coal,130.11699999999973,156.26699999999983,0.8326582067871008
1917,Gas,2.131999999999998,156.26699999999983,0.013643315607261931
1917,Oil,24.170000000000016,156.26699999999983,0.154671171776511
1917,Other industry,-0.21999999999999975,156.26699999999983,-0.0014078468262653024
1918,Cement,-1.9900000000000002,-50.41399999999976,0.03947316221684472
1918,Coal,-49.72499999999991,-50.41399999999976,0.986333161423417
1918,Gas,-3.990000000000002,-50.41399999999976,0.07914468203276909
1918,Oil,5.657999999999987,-50.41399999999976,-0.11223072955924969
1918,Other industry,-0.36700000000000044,-50.41399999999976,0.007279723886222124
1919,Cement,0.8799999999999999,-464.9720000000002,-0.001892587080512374
1919,Coal,-495.74199999999973,-464.9720000000002,1.0661760278038237
