iso_code,country,start_year,end_year,years_used,emissions_per_capita_level,emissions_per_capita_trend_log,emissions_total_trend_log,volatility_yoy_pct_co2pc,intensity_level_co2_per_gdp,income_level_gdp_per_capita,cluster
NAM,Namibia,2010,2023,14,1.3417142857142856,-0.008916523195571714,0.017933133775386457,5.876676616953772,0.15884615384615383,8549.72135054173,1
NER,Niger,2010,2023,14,0.10492857142857145,0.027378352128745002,0.0623816143745421,17.340389136447005,0.12000000000000001,862.0304386167746,2
NGA,Nigeria,2010,2023,14,0.6167142857142858,-0.012056718403207978,0.011915923849404753,10.124088856196467,0.12030769230769231,5165.100047114569,1
NIC,Nicaragua,2010,2023,14,0.797357142857143,-0.0024697665846319787,0.010782223324272793,6.4433767103219814,0.17761538461538462,4509.4867057728925,1
NLD,Netherlands,2010,2023,14,8.948071428571428,-0.03198825041460662,-0.026374346074642264,4.311119561693018,0.20199999999999999,45468.91633791623,0
NOR,Norway,2010,2023,14,8.327500000000002,-0.018963514621464554,-0.010190596337703183,1.8077747865438192,0.10138461538461539,83374.25334641858,0
NPL,Nepal,2010,2023,14,0.3815714285714286,0.10639802834337396,0.1131600102308752,14.420141638419299,0.13184615384615384,2658.1306054932425,2
NZL,New Zealand,2010,2023,14,7.326571428571428,-0.02039838785595168,-0.005203235721416042,3.706919484765249,0.2110769230769231,35429.576092290365,0
OMN,Oman,2010,2023,14,16.468285714285717,-0.011097910228482239,0.02603610466562723,3.555711218980925,0.41969230769230764,39425.614405888366,3
PAK,Pakistan,2010,2023,14,0.8076428571428572,0.019577742217178052,0.03570228909474385,10.71173992024369,0.1706153846153846,4754.966342055529,1
PAN,Panama,2010,2023,14,2.5215714285714284,-0.006905563209839018,0.00916645849505307,22.608312457005876,0.1353076923076923,18661.59069769122,1
PER,Peru,2010,2023,14,1.663142857142857,0.020255728463090365,0.03272318362654574,10.311557088270378,0.1743076923076923,9404.087043750098,1
PHL,Philippines,2010,2023,14,1.1131428571428572,0.040196780706232074,0.05366509231020525,4.732858125851453,0.14546153846153848,7483.21983093282,1
POL,Poland,2010,2023,14,8.365785714285714,-0.006378623621188684,-0.005925635885332306,5.043254436387011,0.33253846153846156,25891.677444220895,0
PRK,North Korea,2010,2023,14,2.0542857142857143,0.022319620812145023,0.026686822876891395,31.704828474064296,1.225153846153846,1672.6933772783195,3
PRT,Portugal,2010,2023,14,4.578285714285714,-0.0207897607684995,-0.021972213011362148,6.096900223244038,0.1819230769230769,25687.7665741893,0
PRY,Paraguay,2010,2023,14,1.0687857142857144,0.02908557371829605,0.04286324050489327,7.619689395633545,0.1163076923076923,9113.542447324422,1
PSE,Palestine,2010,2023,14,0.6585714285714285,0.035328909892674634,0.05836246368312675,8.888581395455684,0.13546153846153847,4757.535412046138,1
QAT,Qatar,2010,2023,14,40.07157142857143,-0.016652524218491255,0.02667798460701865,6.5441582350597045,0.2786923076923077,143739.05298332067,3
ROU,Romania,2010,2023,14,4.007,-0.01086802538772401,-0.01593387747711855,5.459994024091706,0.19692307692307692,21186.219351145657,0
RUS,Russia,2010,2023,14,11.471857142857143,0.0008564192525510731,0.0019860964643352253,2.3709719806421985,0.4730000000000001,24231.40344980631,0
RWA,Rwanda,2010,2023,14,0.09499999999999999,0.07340336262319212,0.09654141315918065,5.443122471355948,0.05330769230769231,1684.130015551206,2
