year,scenario,sector,emissions_mtco2,carbon_price_usd_per_tco2,carbon_cost_usd_bn,cumulative_carbon_cost_usd_bn
2044,STEPS,Power sector inputs,9829.784,82.0,806.042288,7542.01955
2045,STEPS,Power sector inputs,9599.595,85.0,815.965575,8357.985125000001
2046,STEPS,Power sector inputs,9369.406,88.0,824.507728,9182.492853
2047,STEPS,Power sector inputs,9139.217,91.0,831.668747,10014.1616
2048,STEPS,Power sector inputs,8909.028,94.0,837.448632,10851.610232
2049,STEPS,Power sector inputs,8678.839,97.0,841.847383,11693.457615000001
2050,STEPS,Power sector inputs,8448.65,100.0,844.865,12538.322615000001
2025,NZE,Total energy supply,34679.362499999996,50.0,1733.9681249999994,1733.9681249999994
2026,NZE,Total energy supply,32972.024249999995,56.0,1846.4333579999998,3580.401482999999
2027,NZE,Total energy supply,31264.685999999998,62.0,1938.4105319999996,5518.812014999999
2028,NZE,Total energy supply,29557.347749999997,68.0,2009.8996469999997,7528.711661999999
2029,NZE,Total energy supply,27850.0095,74.0,2060.900703,9589.612364999997
2030,NZE,Total energy supply,26142.67125,80.0,2091.4137,11681.026064999998
2031,NZE,Total energy supply,24435.333,86.0,2101.438638,13782.464702999998
2032,NZE,Total energy supply,22727.994749999998,92.0,2090.975517,15873.440219999999
2033,NZE,Total energy supply,21020.656499999997,98.0,2060.0243369999994,17933.464557
2034,NZE,Total energy supply,19313.31825,104.0,2008.585098,19942.049655
2035,NZE,Total energy supply,17605.98,110.0,1936.6578,21878.707454999996
2036,NZE,Total energy supply,15712.144,116.0,1822.608704,23701.316158999998
2037,NZE,Total energy supply,13818.307999999999,122.0,1685.833576,25387.149735
2038,NZE,Total energy supply,11924.472,128.0,1526.332416,26913.482150999997
2039,NZE,Total energy supply,10030.635999999999,134.0,1344.1052239999997,28257.587374999996
2040,NZE,Total energy supply,8136.8,140.0,1139.152,29396.739374999997
2041,NZE,Total energy supply,7323.12,146.0,1069.17552,30465.914894999998
2042,NZE,Total energy supply,6509.4400000000005,152.0,989.4348800000001,31455.349775
2043,NZE,Total energy supply,5695.76,158.0,899.93008,32355.279854999997
2044,NZE,Total energy supply,4882.08,164.0,800.66112,33155.940975
2045,NZE,Total energy supply,4068.3999999999996,170.0,691.6279999999999,33847.568974999995
2046,NZE,Total energy supply,3254.72,176.0,572.83072,34420.399695
2047,NZE,Total energy supply,2441.04,182.0,444.26928,34864.668975
2048,NZE,Total energy supply,1627.3599999999997,188.0,305.9436799999999,35170.612655
2049,NZE,Total energy supply,813.6799999999996,194.0,157.85391999999993,35328.466575
2050,NZE,Total energy supply,0.0,200.0,0.0,35328.466575
2025,STEPS,Total energy supply,37618.972499999996,25.0,940.4743125,940.4743125
2026,STEPS,Total energy supply,37381.439249999996,28.0,1046.6802989999996,1987.1546114999996
2027,STEPS,Total energy supply,37143.905999999995,31.0,1151.4610859999998,3138.6156974999994
2028,STEPS,Total energy supply,36906.372749999995,34.0,1254.8166734999998,4393.432370999999
2029,STEPS,Total energy supply,36668.839499999995,37.0,1356.7470614999997,5750.179432499999
2030,STEPS,Total energy supply,36431.30625,40.0,1457.25225,7207.431682499999
2031,STEPS,Total energy supply,36193.773,43.0,1556.332239,8763.763921499998
2032,STEPS,Total energy supply,35956.23975,46.0,1653.9870285,10417.75095
2033,STEPS,Total energy supply,35718.7065,49.0,1750.2166185,12167.967568499998
2034,STEPS,Total energy supply,35481.17325,52.0,1845.021009,14012.988577499998
2035,STEPS,Total energy supply,35243.64,55.0,1938.4002,15951.388777499998
2036,STEPS,Total energy supply,34747.62,58.0,2015.36196,17966.7507375
2037,STEPS,Total energy supply,34251.6,61.0,2089.3476,20056.0983375
2038,STEPS,Total energy supply,33755.58,64.0,2160.35712,22216.4554575
2039,STEPS,Total energy supply,33259.56,67.0,2228.3905199999995,24444.845977499997
2040,STEPS,Total energy supply,32763.54,70.0,2293.4478,26738.2937775
2041,STEPS,Total energy supply,32450.095,73.0,2368.856935,29107.1507125
2042,STEPS,Total energy supply,32136.65,76.0,2442.3854,31549.536112499998
2043,STEPS,Total energy supply,31823.205,79.0,2514.033195,34063.5693075
2044,STEPS,Total energy supply,31509.760000000002,82.0,2583.8003200000003,36647.3696275
2045,STEPS,Total energy supply,31196.315000000002,85.0,2651.6867750000006,39299.0564025
2046,STEPS,Total energy supply,30882.87,88.0,2717.69256,42016.7489625
2047,STEPS,Total energy supply,30569.425,91.0,2781.817675,44798.5666375
2048,STEPS,Total energy supply,30255.98,94.0,2844.06212,47642.6287575
2049,STEPS,Total energy supply,29942.535,97.0,2904.425895,50547.054652499995
2050,STEPS,Total energy supply,29629.09,100.0,2962.909,53509.9636525
2035,NZE,Transport,5245.28,110.0,576.9808,576.9808
2036,NZE,Transport,4847.12,116.0,562.26592,1139.24672
2037,NZE,Transport,4448.96,122.0,542.77312,1682.01984
2038,NZE,Transport,4050.7999999999997,128.0,518.5024,2200.5222400000002
2039,NZE,Transport,3652.64,134.0,489.45376,2689.976
2040,NZE,Transport,3254.48,140.0,455.6272,3145.6032
2041,NZE,Transport,3018.305,146.0,440.67253,3586.27573
2042,NZE,Transport,2782.13,152.0,422.88376,4009.15949
2043,NZE,Transport,2545.955,158.0,402.26089,4411.42038
2044,NZE,Transport,2309.7799999999997,164.0,378.80391999999995,4790.2243
2045,NZE,Transport,2073.605,170.0,352.51285,5142.73715
2046,NZE,Transport,1837.4299999999998,176.0,323.38767999999993,5466.12483
2047,NZE,Transport,1601.2549999999999,182.0,291.42841,5757.55324
2048,NZE,Transport,1365.08,188.0,256.63504,6014.18828
2049,NZE,Transport,1128.905,194.0,219.00757,6233.19585
2050,NZE,Transport,892.73,200.0,178.546,6411.74185
2035,STEPS,Transport,8450.85,55.0,464.79675,464.79675
2036,STEPS,Transport,8400.94,58.0,487.25452000000007,952.05127
2037,STEPS,Transport,8351.03,61.0,509.41283000000004,1461.4641000000001
2038,STEPS,Transport,8301.119999999999,64.0,531.27168,1992.73578
2039,STEPS,Transport,8251.21,67.0,552.8310699999998,2545.5668499999997
2040,STEPS,Transport,8201.3,70.0,574.0909999999999,3119.6578499999996
2041,STEPS,Transport,8180.021999999999,73.0,597.1416059999999,3716.7994559999997
2042,STEPS,Transport,8158.744,76.0,620.064544,4336.864
2043,STEPS,Transport,8137.465999999999,79.0,642.8598139999999,4979.723813999999
2044,STEPS,Transport,8116.188,82.0,665.527416,5645.25123
2045,STEPS,Transport,8094.91,85.0,688.06735,6333.318579999999
2046,STEPS,Transport,8073.632,88.0,710.479616,7043.798196
2047,STEPS,Transport,8052.354,91.0,732.764214,7776.5624099999995
2048,STEPS,Transport,8031.076,94.0,754.921144,8531.483554
2049,STEPS,Transport,8009.798000000001,97.0,776.9504060000002,9308.43396
2050,STEPS,Transport,7988.52,100.0,798.852,10107.28596
